Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,"6 weeks of study, 4-6 hours/week",,Pass all graded assignments to complete the course.,English,Intermediate,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course explores ways of teaching reading skills in English as Second and Foreign Language (ESL/EFL) using a task-based approach. You will be introduced to the concept of task and the key principles of task-based language teaching (TBLT) and learning. TBLT uses communicative tasks as the key unit for creating language learning activities. You will also examine the role of reading in real-life and in second and foreign language teaching and current thinking about the interface between TBLT and second language reading. You will explore how TBLT and teaching second language reading can be successfully integrated in practice through analysing task-based reading materials. The course culminates in creating task-based materials for teaching reading in your own language teaching contexts. 

After completing the course, you will be able to: 
1.	Explain the main components and tenets of a task-based approach to teaching language;
2.	Explain the main issues involved in teaching reading;
3.	Illustrate connections between TBLT approaches and the teaching of reading;  
4.	Integrate tasks into your own teaching; 
5.	Identify reading texts that are suitable for the construction of tasks; and 
6.	Construct reading tasks and sequences for use in your own classroom.","Created by:  University of London, UCL Institute of Education","['Taught by:\xa0\xa0Dr Amos Paran, Reader in Second Language Education', 'Taught by:\xa0\xa0Dr Andrea Révész, Senior Lecturer in Applied Linguistics', 'Taught by:\xa0\xa0Dr Myrrh Domingo, Senior Lecturer in Contemporary Literacies']",Rated 4.6 out of 5 of 116 ratings,See all 33 reviews,2018-05-30,"['Home', 'Social Sciences', 'Education']",Teaching EFL/ESL Reading: A Task Based Approach,https://www.coursera.org/learn/esl-reading
,,,Pass all graded assignments to complete the course.,English,Beginner,4.7 starsAverage User Rating 4.7See what learners said,"About this course: This course introduces participants from the healthcare sector to gender based violence (GBV), including global epidemiology of GBV; health outcomes; seminal research; and clinical best practices for GBV prevention, support, and management. A core curriculum is supplemented by lectures that contextualize the content with specific examples and programs from around the world. The core curriculum introduces learners to a global perspective on gender based violence (GBV), and includes a review with Dr. Claudia Garcia-Moreno of the new WHO guidelines on responding to violence. Students who wish to receive Honors Recognition will complete the honors module, which expands on the core material and highlights special circumstances and programs. 

This is an in-depth course with 2 components: 
1) Core curriculum introduces GBV from a global perspective, with an emphasis on ensuring a strong health sector response to GBV and teaching key competencies for social workers, physicians, nurses, midwives, community health workers, counselors, and other healthcare workers. Completion of the core content is required for students to pass the course. 
2) Honors curriculum offered by experts from around the world helps students dive deeper into certain issues, and touches on unique populations and specialized topics. Completion of Honors curriculum is required for those students who wish to receive a Certificate of Accomplishment with Honors.

After taking the course, students will be able to:
●	Describe the global epidemiology of leading forms of GBV and the evidence linking GBV to poor health.
●	Articulate the challenges, strategies, and WHO guidelines for integrating GBV response within the health sector. 
●	Describe the components of a comprehensive clinical assessment, treatment, and management of a GBV survivor.
●	Describe the appropriate psychosocial support and management of a GBV survivor.

Module 1 – Introduction to GBV- Epidemiology and Health Impact
GBV comes in a variety of forms, each with health consequences for the survivor. An understanding of these issues helps inform a comprehensive and multi-sectorial response for preventing and responding to GBV. 

Module 2 – Health Care Response, Screening, and Psychosocial Support
Recognition of health impacts of GBV has led to calls to address GBV within the health sector. Support for GBV survivors extends beyond clinical exam and assessment. Safety planning, harm reduction, and access to psychosocial support must be ensured. 

Module 3 – Clinical Care for GBV Survivors
Caring for GBV survivors requires compassionate, confidential, and nondiscriminatory clinical assessment. Competent medical and forensic examination, along with appropriate documentation, is essential.

Honors Module – In-Depth Information and Special Topics
This module provides additional materials for those who wish to explore specialized topics and gain a more advanced grasp of the complexities of addressing gender-based violence. Core course topics are expanded upon, and special populations and programs are highlighted. Special topics include violence in humanitarian settings, against adolescents and sex workers, and human trafficking. Further information is provided on epidemiology, policy, and ethical guidelines, as well as the use of mHealth in GBV screening and care. We’ll cover the unique challenges of GBV research, and explore programs that encourage men and boys to be engaged in the prevention of violence against women. 

Acknowledgments
This course is a project of the Johns Hopkins Center for Clinical Global Health Education.  We would like to gratefully acknowledge the following collaborators:

●	Centre for Enquiry into Health and Allied Themes (CEHAT)
●	International Center for Research on Women's (ICRW) Asia Regional Office
●	Center on Gender Equity and Health at University of California, San Diego
●	Division of Global Public Health at University of California, San Diego
●	World Health Organization
●	RTI International
●	Swayam
●	Johns Hopkins Bloomberg School of Public Health, Center for Public Health and Human Rights
●	Johns Hopkins Bloomberg School of Public Health, Department of Population, Family & Reproductive Health
●	Johns Hopkins School of Nursing

This course is made possible through the generosity of the Ujala Foundation, the Vijay & Marie Goradia Charitable Foundation, and the Wyncote Foundation.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Michele Decker, ScD, MPH']",Rated 4.7 out of 5 of 59 ratings,See all 17 reviews,2018-05-30,"['Home', 'Life Sciences', 'Medicine and Healthcare']",Confronting Gender Based Violence: Global Lessons for Healthcare Workers,https://www.coursera.org/learn/gender-based-violence
Course 2 of 4 in the Cybersecurity for Business Specialization ,,,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Data breaches occur nearly every day.  From very large retailers, down to your fantasy football website, and anywhere in between, they have been compromised in some way.  How did the attackers get in?  What did they do with the data they compromised?  What should I be concerned with in my own business or my systems?  This course is the second course in the Practical Computer Security.  It will discuss types of threats and attack vectors commonly seen in today’s environment.  I hate to be the bearer of bad news, but threats are all over the place!  This course isn’t designed to insight fear that there is no hope for keeping systems and business secure, but rather educate you on how attacks are carried out so that you have a better sense of what to look out for in your business or with your systems.",Created by:  University of Colorado System,"['Taught by:\xa0\xa0Greg Williams, Lecturer']",Rated 4.6 out of 5 of 63 ratings,See all 17 reviews,2018-05-30,"['Home', 'Information Technology', 'Security']",Cyber Threats and Attack Vectors,https://www.coursera.org/learn/cyber-threats-attack-vectors
Course 3 of 5 in the Python for Everybody Specialization ,"6 weeks of study, 2-4 hours/week",,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: This course will show how one can treat the Internet as a source of data.  We will scrape, parse, and read web data as well as access data using web APIs.  We will work with HTML, XML, and JSON data formats in Python.  This course will cover Chapters 11-13 of the textbook “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-10 of the textbook and the first two courses in this specialization.  These topics include variables and expressions, conditional execution (loops, branching, and try/except), functions, Python data structures (strings, lists, dictionaries, and tuples), and manipulating files.  This course covers Python 3.",Created by:  University of Michigan,"['Taught by:\xa0\xa0Charles Severance, Associate Professor']","Rated 4.8 out of 5 of 13,690 ratings","See all 2,778 reviews",2018-05-30,"['Home', 'Computer Science', 'Software Development']",Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data
,2-3 hours each week,,Pass all graded assignments to complete the course.,English,Beginner,4.4 starsAverage User Rating 4.4See what learners said,"About this course: Sensation seeking is a trait we all have and includes the search for complex and new experiences. Thrill Seekers, people with high-sensation seeking personalities, crave exotic and intense experiences even when physical or social risks are involved. This course helps learners examine the remarkable world of the high-sensation seeking personality and explores the lifestyle, psychology, and neuroscience behind thrill seekers.",Created by:  Emory University,"['Taught by:\xa0\xa0Kenneth Carter, Professor of Psychology']",Rated 4.4 out of 5 of 8 ratings,See all 2 reviews,2018-05-30,"['Home', 'Social Sciences', 'Psychology']",The Psychology of Thrill Seekers,https://www.coursera.org/learn/psychology-of-thrill-seekers
,,,Pass all graded assignments to complete the course.,English,,4.7 starsAverage User Rating 4.7See what learners said,"About this course: To really understand what is special about Bitcoin, we need to understand how it works at a technical level. We’ll address the important questions about Bitcoin, such as:

How does Bitcoin work? What makes Bitcoin different? How secure are your Bitcoins? How anonymous are Bitcoin users? What determines the price of Bitcoins? Can cryptocurrencies be regulated? What might the future hold?

After this course, you’ll know everything you need to be able to separate fact from fiction when reading claims about Bitcoin and other cryptocurrencies. You’ll have the conceptual foundations you need to engineer secure software that interacts with the Bitcoin network. And you’ll be able to integrate ideas from Bitcoin in your own projects.

Course Lecturers:
Arvind Narayanan, Princeton University",Created by:  Princeton University,"['Taught by:\xa0\xa0Arvind Narayanan, Assistant Professor']","Rated 4.7 out of 5 of 1,666 ratings",See all 405 reviews,2018-05-30,"['Home', 'Computer Science', 'Computer Security and Networks']",Bitcoin and Cryptocurrency Technologies,https://www.coursera.org/learn/cryptocurrency
Course 3 of 5 in the Foundations of Management Specialization ,"4 weeks of study, 1-3 hours/week",,Pass all graded assignments to complete the course.,"English, Subtitles: Vietnamese",,4.3 starsAverage User Rating 4.3See what learners said,"About this course: Understanding who your customers are and what they need and want is at the heart of successful marketing strategies. In this course you will explore how to identify and classify customers and the different methods that marketing professionals use to shed light on how they make purchase decisions.

The course will cover the following:
1. Marketing Fundamentals
2. Product, Pricing and Channel Decisions 
3. Building Strong Brands 
4. Communication Strategy",Created by:  IESE Business School,"['Taught by:\xa0\xa0Mario Capizzani, Lecturer']",Rated 4.3 out of 5 of 135 ratings,See all 28 reviews,2018-05-30,"['Home', 'Business', 'Business Strategy']",Marketing: Customer Needs and Wants,https://www.coursera.org/learn/marketing-customers
Course 3 of 4 in the Algorithms Specialization ,"4 weeks of study, 4-8 hours/week",,Pass all graded assignments to complete the course.,English,Intermediate,4.9 starsAverage User Rating 4.9See what learners said,"About this course: The primary topics in this part of the specialization are: greedy algorithms (scheduling, minimum spanning trees, clustering, Huffman codes) and dynamic programming (knapsack, sequence alignment, optimal search trees).",Created by:  Stanford University,"['Taught by:\xa0\xa0Tim Roughgarden, Professor']",Rated 4.9 out of 5 of 446 ratings,See all 49 reviews,2018-05-30,"['Home', 'Computer Science', 'Algorithms']","Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",https://www.coursera.org/learn/algorithms-greedy
Course 4 of 5 in the 商务基础 (中文版) Specialization ,"4 weeks of study, 4-7 hours a week",,Pass all graded assignments to complete the course.,"Chinese (Simplified), Subtitles: English",,4.6 starsAverage User Rating 4.6See what learners said,About this course: 学完本课程后，您将可以分析企业所做金融决策的主要类型。然后，您可以运用所学技能处理现实商务挑战，这也是沃顿商学院商务基础专项课程的组成部分。主要概念包括：净现值技术、资本预算原则、资产估值、金融市场运作和效率、公司财务决策以及衍生产品。,Created by:  University of Pennsylvania,"['Taught by:\xa0\xa0Michael R Roberts, William H. Lawrence Professor of Finance, the Wharton School, University of Pennsylvania']",Rated 4.6 out of 5 of 20 ratings,See all 3 reviews,2018-05-30,"['Home', 'Business', 'Business Strategy']",企业金融概论（中文版）,https://www.coursera.org/learn/wharton-qiye-jinrong
,,,Pass all graded assignments to complete the course.,English,,,"About this course: This course will provide an in-depth exploration of desktop 3D printing hardware. It will examine the history of desktop 3D printing and demonstrate how 3D printers are made and how they work. This course will also provide step-by-step instructions for how to use and repair a 3D printer. It will also explore the different types of materials that can be 3D printed and will demonstrate how you can create various objects using these tools and materials. Learners who complete this course will be able to successfully operate, repair, and upgrade a 3D printer. In addition, learners who enroll in the course certificate will be able to purchase a desktop 3D printer at a discounted price (provided by Ultimaker).

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Matthew Griffin, Director of Community, Ultimaker North America']",,,2018-05-30,"['Home', 'Business', 'Entrepreneurship']",3D Printing Hardware,https://www.coursera.org/learn/3d-printer
