Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,3-5 hours/week,,Pass all graded assignments to complete the course.,English,Intermediate,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course provides an introduction to Deep Learning, a field that aims to harness the enormous amounts of data that we are surrounded by with artificial neural networks, allowing for the development of self-driving cars, speech interfaces, genomic sequence analysis and algorithmic trading. 

You will explore important concepts in Deep Learning, train deep networks using Intel Nervana Neon, apply Deep Learning to various applications and explore new and emerging Deep Learning topics.",Created by:  Intel,"['Taught by:\xa0\xa0Andres Rodriguez, Sr. Principal Engineer', 'Taught by:\xa0\xa0Nikhil Murthy ', 'Taught by:\xa0\xa0Hanlin Tang, Principal Engineer']",Rated 4.6 out of 5 of 8 ratings,See all reviews,2018-05-30,"['Home', 'Computer Science', 'Software Development']",An Introduction to Practical Deep Learning,https://www.coursera.org/learn/intro-practical-deep-learning
,6-8 hours/week,,Pass all graded assignments to complete the course.,"English, Subtitles: Chinese (Simplified)",,,"About this course: Calculus is one of the grandest achievements of human thought, explaining everything from planetary orbits to the optimal size of a city to the periodicity of a heartbeat. This brisk course covers the core ideas of single-variable Calculus with emphases on conceptual understanding and applications. The course is ideal for students beginning in the engineering, physical, and social sciences. Distinguishing features of the course include: 1) the introduction and use of Taylor series and approximations from the beginning; 2) a novel synthesis of discrete and continuous forms of Calculus; 3) an emphasis on the conceptual over the computational; and 4) a clear, dynamic, unified approach.

In this second part--part two of five--we cover derivatives, differentiation rules, linearization, higher derivatives, optimization, differentials, and differentiation operators.",Created by:  University of Pennsylvania,"['Taught by:\xa0\xa0Robert Ghrist,  Professor ']",,,2018-05-30,"['Home', 'Math and Logic']",Calculus: Single Variable Part 2 - Differentiation,https://www.coursera.org/learn/differentiation-calculus
,,,Pass all graded assignments to complete the course.,English,Intermediate,5.0 starsAverage User Rating 5.0See what learners said,"About this course: This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery.","Created by:  American Museum of Natural History, Howard Hughes Medical Institute ","['Taught by:\xa0\xa0Ana Luz Porzecanski, Director']",Rated 5 out of 5 of 15 ratings,See all 4 reviews,2018-05-30,"['Home', 'Life Sciences', 'Biology']",Ecology: Ecosystem Dynamics and Conservation,https://www.coursera.org/learn/ecology-conservation
Course 4 of 4 in the Excel Skills for Business Specialization ,"6 weeks of study, 2-4 hours per week",,Pass all graded assignments to complete the course.,English,Intermediate,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces around the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. Across the globe, millions of job advertisements requiring Excel skills are posted every day. At a time when digital skills jobs are growing much faster than non-digital jobs, completing this course will position you ahead of others, so keep reading.

In this last course of our Specialization Excel Skills for Business you will build on the strong foundations of the first three courses: Essentials, Intermediate I + II.  In the Advanced course, we will prepare you to become a power user of Excel - this is your last step before specializing at a professional level. The topics we have prepared will challenge you as you learn how to use advanced formula techniques and sophisticated lookups. You will clean and prepare data for analysis, and learn how to work with dates and financial functions. An in-depth look at spreadsheet design and documentation will prepare you for our big finale, where you will learn how to build professional dashboards in Excel.",Created by:  Macquarie University,"['Taught by:\xa0\xa0Dr Yvonne Breyer, Director, Learning and Teaching']",Rated 4.8 out of 5 of 120 ratings,See all 27 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",Excel Skills for Business: Advanced,https://www.coursera.org/learn/excel-advanced
Course 1 of 6 in the Organizational Leadership Specialization ,,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Are leaders born or made?  Learn the essential skills to develop and expand your leadership repertoire,  design teams for collaboration, and craft win-win negotiation strategies. High Performance Collaboration: Leadership, Teamwork, and Negotiation focuses on leadership, teamwork, and negotiation. Students will engage in self-assessments to analyze their leadership style, develop team charters to optimize their groups, and develop a game plan for effective negotiation.

Recurring course sessions repeat every 2 weeks on Monday with an enrollment period of 5 days.",Created by:  Northwestern University,"['Taught by:\xa0\xa0Leigh Thompson, J. Jay Gerber Distinguished Professor of Dispute Resolution and Organizations ']",Rated 4.8 out of 5 of 748 ratings,See all 214 reviews,2018-05-30,"['Home', 'Business', 'Leadership and Management']","High Performance Collaboration: Leadership, Teamwork, and Negotiation",https://www.coursera.org/learn/leadership-collaboration
Course 2 of 4 in the Pricing Strategy Optimization Specialization ,"4 week so study, 2-3 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.8 starsAverage User Rating 4.8See what learners said,"About this course: The traditional approach to pricing based on costs works to pay the bills, but it leaves revenue on the table. You can, in fact, price your products in a way that increases sales--if you know what your customers are willing to pay and can leverage psychology to create better deal and discount plans. In this course, we'll show you how to price a product based on how your customers value it and the psychology behind their purchase decisions. Led by Darden faculty and Boston Consulting Group global pricing experts, this course provides an in-depth understanding of value-based pricing and how to use it to capture more revenue.

By the end of this course, you'll be able to...
-- Apply knowledge of customer value to price products
-- Leverage core value-based pricing techniques to inform pricing decisions
-- Measure customer willingness to pay using models (surveys, conjoint analysis, other data)
-- Use knowledge of consumer psychology to set prices beneficial to both consumers and sellers","Created by:  University of Virginia, BCG","['Taught by:\xa0\xa0Jean Manuel Izaret, Senior Partner and Managing Director,  Leader of BCG’s Global Pricing Practice', 'Taught by:\xa0\xa0Thomas Kohler, Associate Director, Pricing', 'Taught by:\xa0\xa0Ronald T. Wilcox, NewMarket Corporation Professor of Business Administration & Senior Associate Dean for Degree Programs']",Rated 4.8 out of 5 of 81 ratings,See all 14 reviews,2018-05-30,"['Home', 'Business', 'Marketing']",Customer Value in Pricing Strategy,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-customer-value
,"3 weeks, 3-5 hours/week.",None,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course will teach you how to create useful chatbots without the need to write any code.

Leveraging IBM Watson's Natural Language Processing capabilities, you'll learn how to plan, implement, test, and deploy chatbots that delight your users, rather than frustrate them.

True to our promise of not requiring any code, you'll learn how to visually create chatbots with Watson Assistant (formerly Watson Conversation) and how to deploy them on your own website through a handy WordPress plugin. Don't have a website? No worries, one will be provided to you.

Chatbots are a hot topic in our industry and are about to go big. New jobs requiring this specific skill are being added every day, consultants demand premium rates, and the interest in chatbots is quickly exploding.

Gartner predicts that by 2020, 85% of customer interactions with the enterprise will be through automated means (that's chatbots and related technologies).

Here is your chance to learn this highly in demand set of skills with a gentle introduction to the topic that leaves no stone unturned.",Created by:  IBM,"['Taught by:\xa0\xa0Antonio Cangiano, Software Developer and Technical Evangelist']",Rated 4.6 out of 5 of 29 ratings,See all 3 reviews,2018-05-30,"['Home', 'Computer Science', 'Design and Product']",How to Build a Chatbot Without Coding,https://www.coursera.org/learn/how-to-build-your-own-chatbot-without-coding
,20 hours of videos and peer assessments,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Are we alone? This course introduces core concepts in astronomy, biology, and planetary science that enable the student to speculate scientifically about this profound question and invent their own solar systems.",Created by:  Princeton University,"['Taught by:\xa0\xa0David Spergel, Charles Young Professor of Astronomy on the Class of 1897 Foundation and Chair']",Rated 4.8 out of 5 of 259 ratings,See all 65 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Physics and Astronomy']",Imagining Other Earths,https://www.coursera.org/learn/life-on-other-planets
Course 1 of 6 in the Robotics Specialization ,4 hours/week,,Pass all graded assignments to complete the course.,English,,4.5 starsAverage User Rating 4.5See what learners said,"About this course: How can we create agile micro aerial vehicles that are able to operate autonomously in cluttered indoor and outdoor environments?  You will gain an introduction to the mechanics of flight and the design of quadrotor flying robots and will be able to develop dynamic models, derive controllers, and synthesize planners for operating in three dimensional environments.  You will be exposed to the challenges of using noisy sensors for localization and maneuvering in complex, three-dimensional environments.  Finally, you will gain insights through seeing real world examples of the possible applications and challenges for the rapidly-growing drone industry.

Mathematical prerequisites: Students taking this course are expected to have some familiarity with linear algebra, single variable calculus, and differential equations.

Programming prerequisites: Some experience programming with MATLAB or Octave is recommended (we will use MATLAB in this course.) MATLAB will require the use of a 64-bit computer.",Created by:  University of Pennsylvania,"['Taught by:\xa0\xa0Vijay Kumar, Nemirovsky Family Dean of Penn Engineering and Professor of Mechanical Engineering and Applied Mechanics']","Rated 4.5 out of 5 of 1,617 ratings",See all 416 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Mechanical Engineering']",Robotics: Aerial Robotics,https://www.coursera.org/learn/robotics-flight
Course 1 of 4 in the Data Science at Scale Specialization ,"4 weeks of study, 6-8 hours/week",,Pass all graded assignments to complete the course.,English,,4.3 starsAverage User Rating 4.3See what learners said,"About this course: Data analysis has replaced data acquisition as the bottleneck to evidence-based decision making --- we are drowning in it.  Extracting knowledge from large, heterogeneous, and noisy datasets requires not only powerful computing resources, but the programming abstractions to use them effectively.  The abstractions that emerged in the last decade blend ideas from parallel databases, distributed systems, and programming languages to create a new class of scalable data analytics platforms that form the foundation for data science at realistic scales.

In this course, you will learn the landscape of relevant systems, the principles on which they rely, their tradeoffs, and how to evaluate their utility against your requirements. You will learn how practical systems were derived from the frontier of research in computer science and what systems are coming on the horizon.   Cloud computing, SQL and NoSQL databases, MapReduce and the ecosystem it spawned, Spark and its contemporaries, and specialized systems for graphs and arrays will be covered.

You will also learn the history and context of data science, the skills, challenges, and methodologies the term implies, and how to structure a data science project.  At the end of this course, you will be able to:

Learning Goals: 
1. Describe common patterns, challenges, and approaches associated with data science projects, and what makes them different from projects in related fields.
2. Identify and use the programming models associated with scalable data manipulation, including relational algebra, mapreduce, and other data flow models.
3. Use database technology adapted for large-scale analytics, including the concepts driving parallel databases, parallel query processing, and in-database analytics
4. Evaluate key-value stores and NoSQL systems, describe their tradeoffs with comparable systems, the details of important examples in the space, and future trends.
5. “Think” in MapReduce to effectively write algorithms for systems including Hadoop and Spark.  You will understand their limitations, design details, their relationship to databases, and their associated ecosystem of algorithms, extensions, and languages.
write programs in Spark
6. Describe the landscape of specialized Big Data systems for graphs, arrays, and streams",Created by:  University of Washington,"['Taught by:\xa0\xa0Bill Howe, Director of Research']",Rated 4.3 out of 5 of 641 ratings,See all 136 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Data Manipulation at Scale: Systems and Algorithms,https://www.coursera.org/learn/data-manipulation
