Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
Course 2 of 7 in the Foundations of Global Health Specialization ,"5 weeks, 2-3 hours per week",,Pass all graded assignments to complete the course.,English,Beginner,4.8 starsAverage User Rating 4.8See what learners said,"About this course: This course introduces a set of public health problems experienced by people affected by natural disasters and/or conflict. It discusses the many changes in people’s lives when they are uprooted by a disaster, ranging from changes in disease patterns, access to health care, livelihoods, shelter, sanitary conditions, nutritional status, etc. 

We will explore what humanitarian interventions could look like if we want to mitigate the effects of disasters. The course content is a mix of theoretical knowledge and many practical examples from recent disasters. We think this course is unique because it contains so many practical ‘real-life’ examples and is taught be instructors and guest lecturers who  together have over 200 years of experience in this field.

The course consists of 10 modules totaling approximately 9-10 hours of delivered content with an additional 2-3 hours of self-work (quizzes and writing and evaluating a short peer-review assignment) as well as lively discussions forums. 

The course has been designed in a way that each module builds on the lessons of previous modules. However, modules can be accessed in any order and some can stand alone.

You do not have to pay for this course if you choose to enroll without a certificate. Sometimes referred to as auditing, enrolling without a certificate means that you will have access to all of the videos, quizzes, assignments, and discussions. The only difference is that you will not receive a certificate upon completion. Click the Enroll Without A Certificate link to sign up and begin the course.

Even if you enroll in a session that has yet to begin, you may access most of the course materials right away by clicking the Preview Course Materials link. However, you will have to wait for the session to begin before posting on the discussion forum or accessing the final peer-reviewed assessment. Visit the Learner Help Center for details about session schedules.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Mija Ververs, Senior Associate', 'Taught by:\xa0\xa0Gilbert Burnham, MD, Professor']",Rated 4.8 out of 5 of 130 ratings,See all 38 reviews,2018-05-30,"['Home', 'Social Sciences', 'Governance and Society']",Public Health in Humanitarian Crises,https://www.coursera.org/learn/humanitarian-public-health
Course 2 of 4 in the Business Essentials for Managers Specialization ,,,Pass all graded assignments to complete the course.,English,Intermediate,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Are you looking for a deeper understanding of business strategy, from design through execution? Do you want to lead impactful operational changes in your organization and team? Do you need to respond strategically to global economic trends and industry disruption? 
 
This course will give you the confidence to make smarter business decisions and lead strategic change using time-tested processes and tools. We’ll cover the fundamentals of designing and executing a business strategy, measuring results, managing operations and improving processes, and running successful projects that support your business goals.

You’ll learn how to: 
 - Plan and implement a business strategy from start to finish
 - Analyze both the external and internal context of your firm using established analytical frameworks
 - Identify sources of competitive advantage
 - Align functional strategies with corporate strategies
 - Measure success—and distinguish good metrics from bad metrics
 - Analyze and improve manufacturing and service processes
 - Use time-tested tools such as process flow diagrams and queuing theory
 - Design and lead successful projects that support your organizational strategy
 - Create a work breakdown structure, uncertainty assessment, network diagram, Gantt chart schedule, and communication plan for your project
 - Close your project effectively",Created by:  Vanderbilt University,"['Taught by:\xa0\xa0Nancy Lea Hyer, Associate Professor of Operations Management, and Associate Dean MBA Programs', 'Taught by:\xa0\xa0Mumin Kurtulus, Associate Professor of Operations Management', 'Taught by:\xa0\xa0Brian McCann, Associate Professor of Strategic Management', 'Taught by:\xa0\xa0M. Eric Johnson, Ralph Owen Dean and Bruce D. Henderson  Professor of Strategy']",Rated 4.7 out of 5 of 19 ratings,See all 5 reviews,2018-05-30,"['Home', 'Business', 'Business Strategy']",Operations Management and Strategy Toolkit for Managers,https://www.coursera.org/learn/strategy-and-operations
Course 5 of 6 in the Organizational Leadership Specialization ,3-4 hours/week,,Pass all graded assignments to complete the course.,"English, Subtitles: Portuguese (Brazilian)",,,"About this course: Today’s workplace calls for a new style of leadership to embolden and accelerate innovation. Design offers a novel way to discover market opportunities, experiment to validate concepts and mitigate risk, and deliver value to all stakeholders. This course offers hands-on experience applying human-centered design process to real-world challenges, and requires you to explore the world around you. Learn how to engage with end users, effectively frame problems, identify potential solutions, and build prototypes to test assumptions and learn what works (and doesn’t). Then dive into a range of ways large and small to bring design innovation into your organization.",Created by:  Northwestern University,"['Taught by:\xa0\xa0Elizabeth Gerber, Associate Professor, Co-director of the Research Cluster at the Segal Design Institute', 'Taught by:\xa0\xa0Pam Daniels, Clinical Assistant Professor, Design Innovator in Residence', 'Taught by:\xa0\xa0Ed Colgate, Allen and Johnnie Breed University Design Professor, Professor of Mechanical Engineering, Director of the Engineering Design and Innovation Masters Program at the Segal Design Institute', 'Taught by:\xa0\xa0Greg Holderfield, Pentair - D. Eugene and Bonnie L. Nugent Clinical Associate Professor of Design, Director of the Segal Design Institute, Co-Director of the MMM Program']",,,2018-05-30,"['Home', 'Business', 'Leadership and Management']",Leadership Through Design Innovation,https://www.coursera.org/learn/leadership-design-innovation
Course 6 of 6 in the Big Data Specialization ,,,Pass all graded assignments to complete the course.,English,,4.4 starsAverage User Rating 4.4See what learners said,"About this course: Welcome to the Capstone Project for Big Data! In this culminating project, you will build a big data ecosystem using tools and methods form the earlier courses in this specialization. You will analyze a data set simulating big data generated from a large number of users who are playing our imaginary game ""Catch the Pink Flamingo"". During the five week Capstone Project, you will walk through the typical big data science steps for acquiring, exploring, preparing, analyzing, and reporting. In the first two weeks, we will introduce you to the data set and guide you through some exploratory analysis using tools such as Splunk and Open Office. Then we will move into more challenging big data problems requiring the more advanced tools you have learned including KNIME, Spark's MLLib and Gephi. Finally, during the fifth and final week, we will show you how to bring it all together to create engaging and compelling reports and slide presentations. As a result of our collaboration with Splunk, a software company focus on analyzing machine-generated big data, learners with the top projects will be eligible to present to Splunk and meet Splunk recruiters and engineering leadership.",Created by:  University of California San Diego,"['Taught by:\xa0\xa0Ilkay Altintas, Chief Data Science Officer', 'Taught by:\xa0\xa0Amarnath Gupta, Director, Advanced Query Processing Lab']",Rated 4.4 out of 5 of 143 ratings,See all 34 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Big Data - Capstone Project,https://www.coursera.org/learn/big-data-project
,3-4 hours per week,,Pass all graded assignments to complete the course.,"English, Subtitles: Spanish, Portuguese (European)",,4.6 starsAverage User Rating 4.6See what learners said,"About this course: The Foundations of Teaching for Learning programme is designed for teachers and educators of all abilities and backgrounds; from those who are new to the classroom and looking for development, to experienced teachers ready to reboot their skills for modern education. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your professional skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed. 

How we teach has its foundation in how we were taught and how we learned. This course provides an opportunity for you to reflect on your personal and professional development as a teacher. Through reflection and portfolio development you will enhance your knowledge and understanding of how to promote learning.

Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter.",Created by:  Commonwealth Education Trust,"['Taught by:\xa0\xa0Professor Dennis Francis, Dean of Education ', 'Taught by:\xa0\xa0Professor John MacBeath, Professor Emeritus']",Rated 4.6 out of 5 of 194 ratings,See all 60 reviews,2018-05-30,"['Home', 'Social Sciences', 'Education']",Foundations of Teaching for Learning: Being a Teacher,https://www.coursera.org/learn/being-a-teacher
,"25 hours of videos, quizzes, and reading assignments",,Pass all graded assignments to complete the course.,"English, Subtitles: Arabic, French, Catalan, Portuguese (Brazilian), German, Hebrew, Romanian",Beginner,4.8 starsAverage User Rating 4.8See what learners said,"About this course: For centuries we have collectively marveled at plant diversity and form—from Charles Darwin’s early fascination with stems and flowers to Seymour Krelborn’s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the world—from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. We’ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music you’ve been playing for them or if they’re just deaf to the sounds around them. We’ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature. 

This class has three main goals: 1. To introduce you to basic plant biology by exploring plant senses (sight, smell, hearing, touch, taste, balance). 2. To introduce you to biological research and the scientific method. 3. To get the student to question life in general and what defines us as humans.

Once you've taken this course, if you are interested in a more in-depth study of plants, check out my follow-up course, Fundamentals of Plant Biology.

In order to receive academic credit for this course you must successfully pass the academic exam on campus. For information on how to register for the academic exam – https://tauonline.tau.ac.il/registration

Additionally, you can apply to certain degrees using the grades you received on the courses. Read more on this here – 
https://go.tau.ac.il/b.a/mooc-acceptance

Teachers interested in teaching this course in their class rooms are invited to explore our Academic High school program here – https://tauonline.tau.ac.il/online-highschool",Created by:  Tel Aviv University,"['Taught by:\xa0\xa0Professor Daniel Chamovitz, Ph.D., Dean, George S. Wise Faculty of Life Sciences']",Rated 4.8 out of 5 of 411 ratings,See all 131 reviews,2018-05-30,"['Home', 'Life Sciences', 'Biology']",Understanding Plants - Part I: What a Plant Knows,https://www.coursera.org/learn/plantknows
,,CLIMACT Prio runs with Microsoft Windows Office 2007 and Microsoft Excel 2007. ,Pass all graded assignments to complete the course.,English,Intermediate,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Climate change poses a threat to economic growth and long-term prosperity of many countries around the world. Africa is not an exception, considering the actual and potential impacts of climate change and climate variability that will threaten its vulnerable sectors and human populations. African countries are projected to experience changing rainfall patterns, rising sea levels, and higher temperatures that will affect food security, agricultural production, water availability, and public health, among others. These climate change impacts and climate variability can further produce social and political problems, such as rural-urban migration and water resource disputes.   

Furthermore, the low levels of development in many African countries, as well as limited institutional, infrastructural, and technical capacities to respond successfully to climate change impacts and climate variability, can exacerbate the situation. In terms of contribution to greenhouse gas (GHG) emissions, although African countries are the lightest polluters, it has also become apparent that alternative energy sources can offset the increasing energy demand and dependence on biomass. Addressing climate change offers possibilities for low-carbon development. Moreover, there are promising mechanisms that can address both climate change actions and development goals simultaneously. 

At the city level, strengthening resilience, or the ability to respond to and absorb the effects of a hazardous event in a timely and efficient manner and to sustain this ability in the future, and adaptation; the process of adjusting to actual or expected climate change stimuli or their effects, should be at the forefront of planning.  Local governments have an important role to play through the provision of adequate infrastructure, regulation of land use, and other public services that are crucial for urban resilience. Mobilizing local governments, in collaboration with national governments, non-governmental organizations, and international organizations, among others, is also critical for an integrated multi-sectoral approach to climate change. 

The Course on Planning for Climate Change in African Cities provides the foundation for understanding cities’ exposure and sensitivity to climate change, and how cities can manage these impacts in the face of growing uncertainty. It does so by introducing the basic concepts of urban resilience and adaptation, by using illustrative case studies in different African cities. Furthermore, this module provides lectures on the different approaches for climate change planning, whether ad hoc, strategic or mainstreaming; introduces the different steps in the planning cycle – from initial assessment to monitoring and evaluation; and presents the different decision support and assessment tools for prioritizing climate change actions. This course broadens the discussion on planning for climate change by engaging learners to apply their knowledge and practice their decision-making skills in a simulated exercise.

In line with development that minimizes the harm caused by climate change impacts, while maximizing the many human development opportunities presented by a more resilient future, we ask: what are the connections between urban risk and vulnerability? How is climate change and urban resilience conceptualized and applied in practice? Which policies and measures should be introduced to address climate change? Finally, how to choose among different measures that address climate change adaptation, urban resilience, and other development objectives? 

Course Objectives:
At the end of this course, learners should be able to:

•	Recognize the effects, impacts, and drivers of climate change in cities
•	Understand the drivers of urban risk and vulnerability in the context of climate change 
•	Distinguish the typologies, approaches, and tensions of climate change adaptation 
•	Explain the different approaches and steps in climate change planning 
•	Examine the decision support and assessment tools for climate change
•	Develop a climate change plan based on participants’ city contexts","Created by:  United Cities and Local Governments of Africa, African Local Government Academy, Erasmus University Rotterdam, Institute for Housing and Urban Development ","['Taught by:\xa0\xa0Veronica Olivotto, Expert, Climate Change Adaptation', 'Taught by:\xa0\xa0Dr. Shuaib Lwasa , Associate Professor', 'Taught by:\xa0\xa0Prof. Andy Gouldson', 'Taught by:\xa0\xa0Marcus Mayr, Associate Human Settlements Officer', 'Taught by:\xa0\xa0Dr. Stelios Grafakos, Head of Urban Environment and Climate Change Group', 'Taught by:\xa0\xa0Dr. David Dodman, Director of the Human Settlements Group', 'Taught by:\xa0\xa0Dr. Diana Reckien, Associate Professor', 'Taught by:\xa0\xa0Dr. Nathalie Jean Baptiste']",Rated 4.8 out of 5 of 36 ratings,See all 8 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Environmental Science and Sustainability']",Planning for Climate Change in African Cities,https://www.coursera.org/learn/climate-change-africa
,4-6 heures/semaine,,Pass all graded assignments to complete the course.,"French, Subtitles: English",Intermediate,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Désirez-vous apprendre à mettre en œuvre des solutions d’assainissement abordables et adaptées à différents contextes ?  Voulez-vous connaître les derniers développement dans le domaine de la planification de l’assainissement urbain ? Êtes-vous intéressés par des exemples de systèmes d’assainissement urbain qui fonctionnent dans les pays à faible et moyen revenu ? Si oui, alors ce cours est pour vous !

Le cours débute par une introduction à la planification intégrée de l’assainissement et adresse aussi bien la planification à l’échelle de la ville que la planification dans des contextes spécifiques tels que les quartiers informels. Après un survol des différentes approches de planification de l’assainissement, vous aurez l’occasion de passer en revue les différents systèmes et technologies possibles, la terminologie et concepts clé, et comprendre pourquoi il est crucial de réfléchir en termes de « système intégré » pour la planification de l’assainissement urbain. Le cours couvre toute la chaîne de l’assainissement et fournit de l’information détaillée sur les systèmes d’assainissement adaptés aux contextes à faibles et moyen revenus (par exemple, des systèmes basés sur les fosses sèches, des systèmes décentralisés avec différents réseaux d’égout, le transport des eaux noires).

Eawag-Sandec et EPFL offrent ce cours conjointement avec des experts en assainissement de la Banque Mondiale et de l’OMS. 

SERIE DE MOOC « EAU, ASSAINISSEMENT ET DÉCHETS SOLIDES DANS LES CONTEXTES DU DÉVELOPPEMENT »
Ce cours est l’un des quatre cours de la série « Eau, Assainissement et Déchets Solides dans les Contextes du Développement ».

VERSION ANGLAISE DE CE COURS
Ce cours est offert simultanément en français et en anglais. Le nom du cours en anglais est « Planning & Design of Sanitation Systems and Technologies ».",Created by:  École Polytechnique Fédérale de Lausanne,"['Taught by:\xa0\xa0Christoph Lüthi, Dr.']",Rated 4.7 out of 5 of 73 ratings,See all 27 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Environmental Science and Sustainability']",Planification et Design de Systèmes et Technologies d’Assainissement,https://www.coursera.org/learn/sanitation-fr
,"8 weeks, 5 hours a week",,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: There is an increasing attention to ethics in engineering practice. Engineers are supposed not only to carry out their work competently and skilfully, but also to be aware of the broader ethical and social implications of engineering and to be able to reflect on these.  According to the Engineering Criteria 2000 of the Accreditation Board for Engineering and Technology (ABET) in the US, engineers must have “an understanding of professional and ethical responsibility” and should ""understand the impact of engineering solutions in a global and societal context.” 

This course provides an introduction to ethics in engineering and technology. It helps engineers and students in engineering to acquire the competences mentioned in the ABET criteria or comparable criteria formulated in other countries. More specifically, this course helps engineers to acquire the following moral competencies:

- Moral sensibility: the ability to recognize social and ethical issues in engineering;
- Moral analysis skills: the ability to analyse moral problems in terms of facts, values, stakeholders and their interests;
- Moral creativity: the ability to think out different options for action in the light of (conflicting) moral values and the relevant facts;
- Moral judgement skills: the ability to give a moral judgement on the basis of different ethical theories or frameworks including professional ethics and common sense morality;
- Moral decision-making skills: the ability to reflect on different ethical theories and frameworks and to make a decision based on that reflection.

With respect to these competencies, our focus is on the concrete moral problems that engineers encounter in their professional practice. With the help of concrete cases is shown how the decision to develop a technology, as well as the process of design and production, is inherently moral. The attention of the learners is drawn towards the specific moral choices that engineers face. In relation to these concrete choices learners will encounter different reasons for and against certain actions, and they will discover that these reasons can be discussed. In this way, learners become aware of the moral dimensions of technology and acquire the argumentative capacities that are needed in moral debates with stakeholders (e.g. governments, users, and commercial business departments).",Created by:  Eindhoven University of Technology,"['Taught by:\xa0\xa0Lambèr Royakkers, Associate Professor']",Rated 4.5 out of 5 of 2 ratings,,2018-05-30,"['Home', 'Physical Science and Engineering', 'Research Methods']","Ethics, Technology and Engineering ",https://www.coursera.org/learn/ethics-technology-engineering
Course 1 of 5 in the Trading Strategies in Emerging Markets Specialization ,The estimated workload for this course is 3 to 4 hours per week,,Pass all graded assignments to complete the course.,English,Beginner,4.1 starsAverage User Rating 4.1See what learners said,"About this course: The purpose of this course is to equip you with the knowledge required to comprehend the financial statements of a company and understand the various transactions that take place in the stock market so that you can replicate the strategies discovered by the extant academic literature.

The first part of the course provides a brief introduction to financial statements and various common filings of firms. You will learn how to obtain information regarding a company's performance from them and use the information to build trading strategies.  Next, you are taught basic asset pricing theories so that you will be able to calculate the expected returns of a stock or a portfolio. Finally, you will be introduced to the actual functioning of asset markets, type of players in the market, different types of orders and the efficient ways and opportune time to execute them, trading costs and ways of minimizing them, the concept of liquidity .etc. This knowledge is required to develop efficient algorithm to execute various trading strategies.",Created by:  Indian School of Business,"['Taught by:\xa0\xa0Ramabhadran Thirumalai, Assistant Professor']",Rated 4.1 out of 5 of 292 ratings,See all 72 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Trading Basics,https://www.coursera.org/learn/trading-basics
