Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,,Microsoft Word or a similar editor,Pass all graded assignments to complete the course.,English,Beginner,4.4 starsAverage User Rating 4.4See what learners said,"About this course: This course, Job Success: Get Hired or Promoted in Three Steps, will prepare you to stand out in a crowded applicant pool so that you can get hired or promoted. In three steps you will leave this course with 

1. An upgraded social media presence (one that you can be proud of)
2. A visual, infographic resume that will get you noticed
3. A professional pitch that highlights your strengths and skills

When creating this course, we listened to potential employers, took the advice of recruiters, conducted informal research on best practices and we drew from our own experiences as professionals who have sought out and hired quality candidates.",Created by:  The State University of New York,"['Taught by:\xa0\xa0Christine Kroll, PhD, Interim Assistant Vice Provost & Director of Center for Educational Innovation ', 'Taught by:\xa0\xa0Amber M. Winters, Assistant Dean for Communications and Marketing', 'Taught by:\xa0\xa0Anne Reed, Director of Microcredentials and Badging', 'Taught by:\xa0\xa0In Gu Kang, Assistant Professor']",Rated 4.4 out of 5 of 147 ratings,See all 37 reviews,2018-05-30,"['Home', 'Personal Development']",Job Success: Get Hired or Promoted in 3 Steps,https://www.coursera.org/learn/get-hired
,"1 1/2 to 2 hours of study and review, each of 5 modules.  There is also a final project.",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: A total eclipse is one of the most spectacular sights you can ever see!  It looks like the end of the world may be at hand. There is a black hole in the sky where the sun should be. Pink flames of solar prominences and long silver streamers of the sun's corona stretch across the sky. It gets cold, and animals do strange things. People scream and shout and cheer, and remember the experience their whole life.  But total eclipses are important scientifically as well. They let us see parts of the sun’s atmosphere that are otherwise invisible. A total eclipse presented the first chance to test Einstein’s prediction that matter can bend space – like near a black hole. The best total eclipse in the United States in 40 years happens August 21st, 2017.  

This course has two primary goals: 

1) to get you excited for the total solar eclipse coming in August 2017 and prepare you and your community to safely view it 
2) to provide an inviting overview of the science of the sun and the physics of light

If you are most interested in preparing for the eclipse, you can hop right into Week 5! If you want the full course experience, and to get some fun scientific context for what you'll be seeing on August 21st, start with Week 1 and move through the course week by week!

[Note: if you start with Week 1, you can skip through some of the repeated material once you get to Week 5.]

Overall this course will prepare you to... 

* Safely view the total or partial solar eclipse
* Help others watch safely and even make money by leading a “neighborhood watch” of the eclipse
* Review fundamental sun science, including the physics of light, how astronomers study the sun, how it formed, how we know what’s inside it, and where the energy that supports life on earth is generated",Created by:  University of Colorado Boulder,"['Taught by:\xa0\xa0Douglas Duncan, Astronomer, Director, Fiske Planetarium']",Rated 4.6 out of 5 of 53 ratings,See all 25 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Physics and Astronomy']",The Sun and the Total Eclipse of August 2017,https://www.coursera.org/learn/eclipse
Course 7 of 7 in the Managerial Economics and Business Analysis  Specialization ,,,Pass all graded assignments to complete the course.,English,Beginner,4.3 starsAverage User Rating 4.3See what learners said,"About this course: The capstone project involves an in-depth analysis of an actual business situation in which you will examine the global economic environment of a business. The final project will be a business plan that uses statistical tools and economic theory to create a comprehensive analysis of the microeconomic and macroeconomic environment in which the focal company operates.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Joseph A. Petry, Clinical Professor of Economics and Finance']",Rated 4.3 out of 5 of 16 ratings,See all 5 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",Managerial Economics and Business Analysis Capstone,https://www.coursera.org/learn/managerial-economics-capstone
Course 2 of 5 in the Foundations of Management Specialization ,"4 weeks of study, 3-5 hours/week",,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: When it comes to numbers, there is always more than meets the eye.  In operational finance, you will learn how to read the “story” that the balance sheet and income statement tells about the company’s operations. The insights you gain from this “financial story” will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. Finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc.",Created by:  IESE Business School,"['Taught by:\xa0\xa0Miguel Antón, Associate Professor']",Rated 4.8 out of 5 of 247 ratings,See all 63 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Operational Finance: Finance for Managers,https://www.coursera.org/learn/operational-finance
,"1 week of study, 15-30 hours/week",,Pass all graded assignments to complete the course.,"English, Subtitles: Spanish",Beginner,4.5 starsAverage User Rating 4.5See what learners said,"About this course: G Suite Administrator Fundamentals serves as the starting place for any new G Suite admin as they begin their journey of managing and establishing G Suite best practices for their organization.  This 15-30 hour accelerated one week course will leave you feeling confident to utilize the basic functions of the Admin Console to manage users, control access to services, configure common security settings, and much more.

Through a series of in-product training lessons, step-by-step hands-on exercises, and knowledge checks, learners can expect to leave this training with all of the skills they need to get started as G Suite administrators.

Learning Objectives

By the end of this course participants will be able to:
• Describe the basic organizational benefits to using G Suite services for collaboration and technical deployment.
• Setup G Suite Accounts, and access and navigate the G Suite Admin Console.
• Provision and manage their G Suite users
• Add, use, and manage G Suite organizations
• Manage G Suite services such as Calendar, Gmail, and Drive
• Establish fundamental security practices
• Find help center resources and further resources to help guide the new admin after the training.

Prerequisites

To get the most out of this training course, learners should be prepared to: 
• Install and be ready to use the latest version of Chrome web browser available at https://www.google.com/chrome/
• Use an existing domain or purchase a new domain through a registrar such as Google, GoDaddy, enom, etc...",Created by:  Google Cloud,,Rated 4.5 out of 5 of 565 ratings,See all 174 reviews,2018-05-30,"['Home', 'Computer Science', 'Computer Security and Networks']",G Suite Administrator Fundamentals,https://www.coursera.org/learn/gsuite-admin-fundamentals
,"12 weeks of study, 3-5 hours per week",,Pass all graded assignments to complete the course.,English,Advanced,4.7 starsAverage User Rating 4.7See what learners said,"About this course: This is a master course given in Moscow at the Laboratory of Algebraic Geometry of the National Research University Higher School of Economics by Valery Gritsenko, a professor of University Lille 1, France.
Jacobi forms are holomorphic functions in two complex variables. They are modular in one variable and abelian (or double periodic) in another variable. The theory of Jacobi modular forms became an independent research subject after the famous book of Martin Eichler and Don Zagier “Jacobi modular forms” (Progress in Mathematics, vol. 55, 1985) which was cited more than a thousand times in research papers. This is due to many applications of Jacobi forms in arithmetic, topology, algebraic and differential geometry, mathematical and theoretical physics, in the theory of Lie algebras, etc. The list of mentioned subjects shows that my course might be useful for master and Ph.D. students working in different directions.
Motivated undergraduate students can also study this subject. To follow the course one has to know only elementary basic facts from the theory of modular forms (for example, the paragraphs 1-4 of the chapter VII of Serre’s “A Course in Arithmetic” are enough).
The main hero of the course is the Jacobi theta-series. Using it we will construct a lot of concrete examples of Jacobi forms in one or many abelian variables, in particular, Jacobi forms for root systems.
For some of you, who will be successful with the theoretical exercises of the course, I am ready to formulate research problems for Master or Ph.D. thesis. (Ph.D. support might be available at CEMPI in Lille or at the Faculty of Mathematics of National Research University Higher School of Economics in Moscow)",Created by:  National Research University Higher School of Economics,['Taught by:\xa0\xa0Valery Gritsenko'],Rated 4.7 out of 5 of 10 ratings,See all 3 reviews,2018-05-30,"['Home', 'Math and Logic']",Jacobi modular forms: 30 ans après,https://www.coursera.org/learn/modular-forms-jacobi
,,,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: To explain how globalization rebuilt public policy and social behavior, we study the different political, economic, and social actors - public or private, individual or collective - and the exchanges and interactions between them that are remaking international relations. This course is inspired by a French sociological and historical approach to international relations.

This course is also available in french version: www.coursera.org/learn/espace-mondial-fr/",Created by:  Sciences Po,"['Taught by:\xa0\xa0Bertrand Badie, Professor', 'Taught by:\xa0\xa0Marie-Françoise Durand, Professor']",,,2018-05-30,"['Home', 'Social Sciences', 'Governance and Society']","Espace mondial, a French vision of Global studies",https://www.coursera.org/learn/global-studies
Course 3 of 5 in the Understanding Modern Finance Specialization ,,,Pass all graded assignments to complete the course.,English,Intermediate,,"About this course: Whenever the word “accounting” is pronounced, it is immediately associated with the need to memorize endless boring numbers. However, it is the common financial statements that contain important information that provides inputs for valuation of investment projects. The only challenge is how to properly extract them.

Accounting and finance are indeed intertwined. Sometimes people that are not experienced in the area even mix them up. But most often emphasis in accounting is on numbers. Still, the deep understanding of key accounting concepts helps reveal the interests and actions of people behind these numbers. And the human dimension of accounting adds invaluable insight in the potential of successful project implementation.

This Course discusses core ideas and concepts of both financial and managerial accounting. It by no means pretends to be comprehensive to any extent. But, being rather an accounting overview, it focuses on the issues that are most relevant and important for effective valuation of investment projects.

The learners will gain insight into the essence of accounting. They will be able to use the obtained knowledge and skills to successfully advance in their career at a financial institution, as well as in the area of financial management at non-financial businesses. To pursue a career in accounting, a more detailed study is strongly recommended.","Created by:  Moscow Institute of Physics and Technology, American Institute of Business and Economics","['Taught by:\xa0\xa0Konstantin Kontor, Director and Professor of Finance and Strategy']",,,2018-05-30,"['Home', 'Business', 'Finance']",Core Concepts of Accounting – Numbers and People,https://www.coursera.org/learn/core-concepts-of-accounting
,10 – 15 hours,,Pass all graded assignments to complete the course.,English,,4.6 starsAverage User Rating 4.6See what learners said,"About this course: A strong argument can be made that the health care field is one of the most information-intensive sectors in the U.S. economy and avoidance of the rapid advances in information technology is no longer an option. Consequently, the study of health care information technology and systems has become central to health care delivery effectiveness. This course covers the modern application of information technology that is critical to supporting the vision and operational knowledge of the health care leaders in managing the health care organization. Heath care decision-makers have to meet head-on the dynamic challenges of health care delivery quality, cost, access, and regulatory control. Additionally, this course integrates the Healthcare Information System as integral to the Quality Assurance Tracking Programs including measurement of systems inputs, processes, and outputs with special emphasis on systems outcomes research and organizational accountability to its various stakeholders, not the least of which are government regulators.",Created by:  Icahn School of Medicine at Mount Sinai,"[""Taught by:\xa0\xa0Bruce J Darrow, MD, PhD, VICE PRESIDENT MSHS | President's Office ASSOCIATE PROFESSOR | Medicine, Cardiology ASSOCIATE PROFESSOR | Population Health Science and Policy"", 'Taught by:\xa0\xa0Nicholas G Genes, MD, PhD, ASSOCIATE PROFESSOR | Emergency Medicine ASSOCIATE PROFESSOR | Genetics and Genomic Sciences']",Rated 4.6 out of 5 of 98 ratings,See all 30 reviews,2018-05-30,"['Home', 'Life Sciences', 'Medicine and Healthcare']",Health Care IT: Challenges and Opportunities,https://www.coursera.org/learn/healthcare-it
Course 2 of 5 in the Photography Basics and Beyond: From Smartphone to DSLR Specialization ,"4 weeks of study, 1-3 hours/week",,Pass all graded assignments to complete the course.,English,,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Welcome to Course Two of Photography Basics and Beyond: From Smartphone to DSLR!  Now that you have a broad understanding of the various types of cameras, the importance of setting up Menus and Functions to gain control in your photography, and the difference between Auto and Program exposure modes, you are ready to move into even greater Camera Control!  

In these 4 Modules we will concentrate on gaining the knowledge necessary to make use of Exposure Modes, Light Metering, Effects of various ISO settings, Lens options, using Shutter Speeds to convey aspects of Time in both documentary and creative ways, and exploring the controlled focus effects that Depth of Field Principles make possible.   You will also continue to make new photographs and, if you are a subscriber to the specialization, continue interacting with your fellow learners as you share photographs for Peer Review.  You will also confirm your knowledge through completion of quizzes and written responses.  Let's get started with Module One!",Created by:  Michigan State University,"['Taught by:\xa0\xa0Peter Glendinning, Professor', 'Taught by:\xa0\xa0Mark Valentine Sullivan, Associate Professor']",Rated 4.7 out of 5 of 726 ratings,See all 161 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Music and Art']",Camera Control,https://www.coursera.org/learn/camera-control
