Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,"6 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,English,Intermediate,4.2 starsAverage User Rating 4.2See what learners said,"About this course: The course presents an overview of the theory behind biological diversity evolution and dynamics and of methods for diversity calculation and estimation. We will become familiar with the major alpha, beta, and gamma diversity estimation techniques.

Understanding how biodiversity evolved and is evolving on Earth and how to correctly use and interpret biodiversity data is important for all students interested in conservation biology and ecology, whether they pursue careers in academia or as policy makers and other professionals (students graduating from our programs do both). Academics need to be able to use the theories and indices correctly, whereas policy makers must be able to understand and interpret the conclusions offered by the academics.

The course has the following expectations and results:

- covering the theoretical and practical issues involved in biodiversity theory,
- conducting surveys and inventories of biodiversity,
- analyzing the information gathered,
- and applying their analysis to ecological and conservation problems.

Needed Learner Background:

- basics of Ecology and Calculus
- good understanding of English",Created by:  National Research Tomsk State University,"['Taught by:\xa0\xa0Roberto Cazzolla Gatti, Ph.D., Associate Professor in Ecology and Biodiversity']",Rated 4.2 out of 5 of 61 ratings,See all 14 reviews,2018-05-30,"['Home', 'Life Sciences', 'Biology']","Biological Diversity (Theories, Measures and Data sampling techniques)",https://www.coursera.org/learn/biological-diversity
,"6 weeks of study, 1-2 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: The level of popularity you experienced in childhood and adolescence is still affecting you today in ways that you may not even realize.  Learn about how psychologists study popularity and how these same concepts can be used in adulthood to be more successful at work, become better parents, and have a happier life.",Created by:  The University of North Carolina at Chapel Hill,"['Taught by:\xa0\xa0Dr. Mitch Prinstein , John Van Seters Distinguished Professor of Psychology and Neuroscience, and Author of Popular: The Power of Likeability in a Status-Obsessed World']",Rated 4.6 out of 5 of 404 ratings,See all 101 reviews,2018-05-30,"['Home', 'Social Sciences', 'Psychology']",Psychology of Popularity,https://www.coursera.org/learn/popularity
Course 4 of 5 in the Trading Strategies in Emerging Markets Specialization ,The estimated workload for this course is 4 to 5 hours per week,,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course integrates all the learning from the first three courses and guides the learner about ways of building a portfolio of strategies and integrating the same into a hedge fund. 

In the first part of the course, you will be taught ways of measuring the contribution of a strategy to a portfolio in terms of risk and return. You will be able to appreciate the consequences of including a strategy to a new as well an existing portfolio.
Next, you are taught various ways of conducting the tilting analysis in order to determine the optimal weight to be placed on each strategy.  After this you will learn to develop techniques for minimizing overall portfolio risk.
 
You will also get a basic overview of the regulatory framework that is applicable to hedge funds. You will know about different types of investors and the expectations of each type of investors.",Created by:  Indian School of Business,"['Taught by:\xa0\xa0Ramabhadran Thirumalai, Assistant Professor', 'Taught by:\xa0\xa0Prasanna Tantri, Senior Associate Director']",Rated 4.6 out of 5 of 56 ratings,See all 8 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Creating a Portfolio ,https://www.coursera.org/learn/investment-portfolio
Course 1 of 4 in the Journey of the Universe: A Story for Our Times Specialization ,2 hours of viewing lectures/week and 2 hours of reading books and articles/week ,,Pass all graded assignments to complete the course.,"English, Subtitles: Chinese (Simplified)",,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Journey of the Universe weaves together the discoveries of the evolutionary sciences together with humanities such as history, philosophy, art, and religion.  The course draws on the Emmy-award winning film, Journey of the Universe, and the book from Yale University Press. 

Journey explores cosmic evolution as a creative process based on connection, interdependence, and emergence.  It examines a range of dynamic interactions in the unfolding of galaxies, Earth, life, and human communities. It investigates ways in which we understand evolutionary processes and the implications for humans and our ecological future.  

The Journey course, thus, is based on a new integration that is emerging from the dialogue of the sciences and humanities. Journey tells the story of evolution as an epic narrative, rather than as a series of facts separated by scientific disciplines. This changes our perception so that we begin to see ourselves as an integral part of this narrative. By situating ourselves within this story we can better appreciate the complexity and beauty of processes such as self-organizing dynamics, natural selection, emergence, symbiosis, and co-evolution. As we discover these intricate processes of evolution, we awaken to the beauty and complexity of our natural environment at this critical juncture in our planetary history.",Created by:  Yale University,"['Taught by:\xa0\xa0Mary Evelyn Tucker , Senior Lecturer and Senior Research Scholar', 'Taught by:\xa0\xa0John Grim, Senior Lecturer and Senior Research Scholar']",Rated 4.7 out of 5 of 141 ratings,See all 46 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'History']",Journey of the Universe: The Unfolding of Life,https://www.coursera.org/learn/journey-of-the-universe
,,,Pass all graded assignments to complete the course.,English,Beginner,4.4 starsAverage User Rating 4.4See what learners said,"About this course: Do you have a desire to write a novel, write a screenplay, design a video game? In this project-centered course you will develop your own, original, intellectual property (IP) into a transmedia project containing written versions of your IP on various platforms. You will begin your novel, adapt the first chapters of your novel into the opening scenes of a film or TV show and create a game design concept of your IP.

This is a course is based in ""Active Learning"" so that most of the actual learning takes place within your own activities - that is, writing! You will learn by doing.

I am a proponent of experiential learning (also known as active learning). My lectures are short and succinct, designed in a step-by-step process essential to your success as a writer. I will guide you, I will show you how to get there, hopefully I will inspire you, but I won’t show you how to write or what to write. That is up to you, you are the only one who can illustrate your creative thoughts, by writing them! I firmly believe that the only way to become a writer is to write, write, write. You need to unleash your creativity and my plan is to help you to do exactly that!

All of the assignments on this course are peer review. At each stage of the process, whether creating your novel, your screenplay or your video game, you will post your written work and review the works of your peers.  Peer review is an extremely important element of this course. Giving feedback and getting feedback is essential to the development of your critical thinking and your growth as a writer. It is as important as the writing itself.

This course is designed to tap into your creativity and help you to develop your skills in expressing that creativity through written words.

Writing is a truly beautiful, amazing, satisfying thing. Imagine, putting your own words on a page to tell a story which enters your readers minds and allows them to share the thoughts, emotions and lives of your characters. It is a very rewarding experience.",Created by:  Michigan State University,"['Taught by:\xa0\xa0David Wheeler, Creative Research Faculty, The Hub for Innovation']",Rated 4.4 out of 5 of 16 ratings,See all 6 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'History']",Transmedia Writing,https://www.coursera.org/learn/transmedia-writing
Course 1 of 5 in the Understanding Modern Finance Specialization ,,,Pass all graded assignments to complete the course.,English,Intermediate,,"About this course: Capital markets and financial institutions are all around us. This is an enormous industry in which powerful players oftentimes challenge investors and the public at large and expose them to significant risks.
This Course provides for the deep understanding of the core ideas, concepts, and mechanisms of the modern capital market in a learner-friendly way. We will analyze the market’s most fundamental problems, realize the intrinsic interests of the market participants, reveal the true meaning of certain financial terms, and uncover credible signals of the likely behavior of economic agents – all that with little math and a lot of fun.
The learners will be much better positioned with respect to the financial environment. They will see through the financial news, reveal the risks of the financiers’ wishful thinking promises, and protect themselves against dangerous adventures. The learners will get the opportunity to use the obtained knowledge, skills, and understanding for the successful professional career in the financial and other business areas, as well as in their day-to-day life.","Created by:  Moscow Institute of Physics and Technology, American Institute of Business and Economics","['Taught by:\xa0\xa0Konstantin Kontor, Director and Professor of Finance and Strategy']",Rated 5 out of 5 of 1 ratings,,2018-05-30,"['Home', 'Business', 'Finance']",Capital Markets and Financial Institutions – How to Survive Them,https://www.coursera.org/learn/capital-markets-and-financial-institutions
Course 2 of 5 in the CAD and Digital Manufacturing Specialization ,5 weeks of study,You'll need to download Autodesk Fusion 360 onto a laptop or desktop computer.,Pass all graded assignments to complete the course.,English,Intermediate,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Design, engineering, and manufacturing are undergoing a digital transformation, and the need for a collaborative product development environment is becoming an ever-growing requirement. Autodesk® Fusion 360™ meets this need by connecting CAD, CAM, and CAE in a single cloud-based platform unlike any other tool of its kind. This course builds upon digital manufacturing trends and foundational CAD concepts discussed in Course 1 of this series by introducing Fusion 360 as a problem-solving tool. In this course, we take the next step in connecting CAD, CAM, and CAE through a series of short exercises on 3D modeling, rendering, simulation, and computer aided manufacturing.

After completing this course series, you will be able to:
• Demonstrate knowledge of and apply job entry level skills in computer aided design, computer aided engineering (CAE) and computer aided manufacturing (CAM) using Fusion 360 software.
• Describe and apply design based workflows for design, engineering and manufacturing using Fusion 360 software.
• Utilize Fusion 360 cloud based collaboration features for project sharing and design review.",Created by:  Autodesk,['Taught by:\xa0\xa0Autodesk Education'],Rated 4.7 out of 5 of 105 ratings,See all 12 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Mechanical Engineering']",Autodesk Fusion 360 Integrated CAD/CAM/CAE,https://www.coursera.org/learn/fusion-360-integrated-cad-cam-cae
Course 1 of 10 in the Data Science Specialization ,1-4 hours/week,,Pass all graded assignments to complete the course.,"English, Subtitles: French, Chinese (Simplified), Greek, Italian, Portuguese (Brazilian), Vietnamese, Russian, Turkish, Hebrew",,4.5 starsAverage User Rating 4.5See what learners said,"About this course: In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Jeff Leek, PhD, Associate Professor, Biostatistics', 'Taught by:\xa0\xa0Roger D. Peng, PhD, Associate Professor, Biostatistics', 'Taught by:\xa0\xa0Brian Caffo, PhD, Professor, Biostatistics']","Rated 4.5 out of 5 of 14,315 ratings","See all 2,928 reviews",2018-05-30,"['Home', 'Data Science', 'Data Analysis']",The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools
,"10 weeks of study, 8 hours/week",,Pass all graded assignments to complete the course.,English,Intermediate,4.8 starsAverage User Rating 4.8See what learners said,"About this course: In this course you will learn about audio signal processing methodologies that are specific for music and of use in real applications. We focus on the spectral processing techniques of relevance for the description and transformation of sounds, developing the basic theoretical and practical knowledge with which to analyze, synthesize, transform and describe audio signals in the context of music applications.

The course is based on open software and content. The demonstrations and programming exercises are done using Python under Ubuntu, and the references and materials for the course come from open online repositories. We are also distributing with open licenses the software and materials developed for the course.","Created by:  Universitat Pompeu Fabra of Barcelona, Stanford University","['Taught by:\xa0\xa0Xavier Serra, Full Professor', 'Taught by:\xa0\xa0Prof Julius O Smith, III, Professor of Music and (by courtesy) Electrical Engineering']",Rated 4.8 out of 5 of 161 ratings,See all 47 reviews,2018-05-30,"['Home', 'Computer Science', 'Software Development']",Audio Signal Processing for Music Applications,https://www.coursera.org/learn/audio-signal-processing
Course 3 of 7 in the Strategic Leadership and Management Specialization ,"4 weeks of study, 3-5 hours/week",,Pass all graded assignments to complete the course.,English,,4.4 starsAverage User Rating 4.4See what learners said,"About this course: In this course you will understand how firms are organized, what factors must be taken into account in making critical design decisions, and what role managers play in making these choices. In order to answer these questions, we will first develop a conceptual process model that links business models, external and internal contingencies, and organizational design. Second, we will focus on the fundamental principles of organization design and what alternative design choices are available for managers. Finally, we will apply these concepts and ideas to organizational situations to develop the critical insights and decision making skills to build effective organizations.
 
Learners:
•	Will understand how managers create value through their organizations
•	Will have a good understanding of the fundamental principles and factors important to organizational design
•	Will be able to design the coordination, control, and performance measurement systems to manage an organization.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Huseyin Leblebici, Professor of Business Administration']",Rated 4.4 out of 5 of 370 ratings,See all 68 reviews,2018-05-30,"['Home', 'Business', 'Leadership and Management']",Designing the Organization: From Strategy to Organizational Structure,https://www.coursera.org/learn/designing-organization
