Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,"3 weeks, 1 hour per week",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: The People, Power, and Pride of Public Health provides an engaging overview of the incredible accomplishments and promise of the public health field.  The first module includes interviews with legendary public health figures whose work led to millions of lives saved with vaccines, air bags and car seats, and the federal Women Infants and Children (WIC) nutrition program.  The second module brings key public health tools to life -- including use of data, communications, and policy - through discussions with experienced professionals who have used these tools to save lives.  The third module includes a ""Carpool Karaoke""-style trip through Baltimore County, Maryland with NACCHO President Dr. Umair Shah to see and hear real public health workers talking about how they serve their communities.  
Learners will come away from this course with a deeper understanding of the public health field and a greater enthusiasm for their own work in public health. 
Preview the course on YouTube: goo.gl/RXKbUr",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Beth A. Resnick, MPH, Associate Scientist', 'Taught by:\xa0\xa0Joshua Sharfstein, MD, Associate Dean for Public Health Practice']",Rated 4.6 out of 5 of 58 ratings,See all 14 reviews,2018-05-30,"['Home', 'Life Sciences', 'Medicine and Healthcare']","The People, Power, and Pride of Public Health",https://www.coursera.org/learn/public-health
,"4 weeks of study, 3-5 hours/week",,Pass all graded assignments to complete the course.,"English, Subtitles: Romanian",,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Paleontology: Ancient Marine Reptiles is a four-lesson course teaching a comprehensive overview of the evolutionary changes that occur when air-breathing terrestrial animals return to water. This course examines the diversity, adaptations, convergence, and phylogenetic relationships of extinct marine reptiles. Students will explore three major groups of marine reptiles: ichthyosaurs, plesiosaurs, and mosasaurs. Watch a preview of the course here: https://uofa.ualberta.ca/courses/paleontology-marine-reptiles",Created by:  University of Alberta,"['Taught by:\xa0\xa0Michael Caldwell, Professor', 'Taught by:\xa0\xa0Halle P. Street, Sessional Instructor']",Rated 4.8 out of 5 of 422 ratings,See all 119 reviews,2018-05-30,"['Home', 'Life Sciences', 'Biology']",Paleontology: Ancient Marine Reptiles,https://www.coursera.org/learn/ancient-marine-reptiles
,"6 weeks of study, 2-3 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course will provide an introduction and history of cellular communication systems that have changed our lives during the recent four decades and will become an essential and inseparable part of human life. The principles of wireless communication theory are covered with emphasis on the essential concept delivery to non-major learners in the easiest way. Then, it will be covered how such principles are realized and how multimedia services can be delivered in practical LTE cellular systems by which learners are connected and enjoys together in their lives.

After completing this course, learners will be able to understand
1. What a cellular system is and how it has been developed so far 
2. The very basic principles how information can be delivered efficiently using radio
3. How such principles are realized in LTE systems.
4. How people can be connected and multimedia services can be delivered in LTE systems",Created by:  Yonsei University,"['Taught by:\xa0\xa0Kwang-Soon Kim, Professor', 'Taught by:\xa0\xa0Seong-Lyun Kim, Professor', 'Taught by:\xa0\xa0Chan-Byoung Chae, Professor', 'Taught by:\xa0\xa0Dae-Sik Hong, Professor', 'Taught by:\xa0\xa0Song-Kuk Kim, Associate Professor']",Rated 4.6 out of 5 of 166 ratings,See all 44 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Electrical Engineering']",Wireless Communications for Everybody,https://www.coursera.org/learn/wireless-communications
Course 2 of 5 in the Creative Writing Specialization ,"4 weeks of study, 2-4 hours/week",,Pass all graded assignments to complete the course.,English,,4.5 starsAverage User Rating 4.5See what learners said,"About this course: At the center of a good story are the characters in it. In this course aspiring writers will discover how to build and bring to life complex, vivid and unforgettable characters. We will study the choices a writer makes to bring all characters to life on the page, and we will perform written exercises in order to develop a variety of writing and pre-writing techniques, in order to create a variety of characters. We will learn how to use our own life experiences, and the people we know (and how not to!). We will develop inner (thoughts and feelings) and outer (appearance, habits, behavior) lives for our characters and see how that can lead us to richer and more interesting stories. We will breathe life into our characters and let them surprise us.",Created by:  Wesleyan University,"['Taught by:\xa0\xa0Amy Bloom, Distinguished University Writer in Residence and Director of the Shapiro Center for Creative Writing']",Rated 4.5 out of 5 of 751 ratings,See all 203 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Music and Art']",Creative Writing: The Craft of Character,https://www.coursera.org/learn/craft-of-character
,15 hours of videos and quizzes,,Pass all graded assignments to complete the course.,"Chinese (Simplified), Subtitles: English",,4.4 starsAverage User Rating 4.4See what learners said,"About this course: 这是一个全球化、信息化、快餐化的时代；全球化拷问着人们的文化根基，信息化拷问着人们的价值信仰，快餐化拷问着人们的经典阅读。 民族的就是世界的。为继承弘扬中华文化传统，我们特意打造这门课，希冀提供一个阅读哲学经典、传承中国文化、铸造民族精神的平台，让中国文化走向世界、走向未来。
        本课分十个专题，分别介绍《周易》、孔子《论语》、老子《道德经》，《大学》与《中庸》，《庄子》，《孙子兵法》，《墨经》，《心经》，以及朱熹理学、王阳明《传习录》等著作和人物的思想。既有对儒释道经典的介绍，也有对理学、心学思想的阐释，以期以一种更广阔的视角看待中国传统哲学，让学生能够对中国传统哲学有一种全方位的认识。

课程大纲

第一章 《周易》导读

第二章 《道德经》导读

第三章 《论语》导读 

第四章 《大学》《中庸》导读

第五章 《孙子兵法》导读

第六章 《墨经》导读

第七章 《心经》导读

第八章  《庄子》导读

第九章  朱熹理学相关著作导读

第十章 《传习录》导读",Created by:  Xi'an Jiaotong University,"['Taught by:\xa0\xa0燕 连福, 教授', 'Taught by:\xa0\xa0韩 鹏杰, 教授', 'Taught by:\xa0\xa0龚 建平, 教授', 'Taught by:\xa0\xa0张 帆, 教授', 'Taught by:\xa0\xa0妥 建清, 教授', 'Taught by:\xa0\xa0李 重, 副教授', 'Taught by:\xa0\xa0邓 妙子, 讲师', 'Taught by:\xa0\xa0雒 自新, 讲师']",Rated 4.4 out of 5 of 219 ratings,See all 51 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Philosophy']",中国哲学经典著作导读,https://www.coursera.org/learn/chinese-philosophy
,,,Pass all graded assignments to complete the course.,"English, Subtitles: Spanish",Beginner,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Acerca del curso

Los procesos de globalización y europeización respaldan el rápido desarrollo de las ciudades en distintas partes del mundo. En el mundo contemporáneo, el proceso de urbanización está alcanzando un nuevo pico con el incremento de las megalópolis (más de 15 millones de habitantes) como Calcuta, Los Ángeles, Daca, El Cairo, Tokio, Nueva York, Shanghái, Ciudad de México. o Seúl. Más allá de las metrópolis modernas, los investigadores intentan entender estas grandes zonas urbanas con el uso de distintos conceptos, tales como ""posmetrópolis"", ""ciudades globales"" y ""ciudades-regiones globales"". La clase estudiará debates y modelos de ciencias sociales de ciudades y metrópolis, para así analizar y comparar los desarrollos actuales. ¿Cómo podemos estudiar dichas ciudades cuando se convierten en megalópolis? ¿El tamaño importa, y para qué? ¿Acaso vemos la creación de un mundo urbano extenso o, en cambio, vemos más allá de la convergencia aparente de procesos complejos  de globalización comprendidos en relación con el capitalismo globalizado? ¿Es posible identificar las diferencias escondidas y el fortalecimiento de diversos mundos urbanos? ¿Cómo podemos lograr entender este mundo urbano cuando las ciudades no son unidades independientes, sino que tienen que compenetrarse en términos de territorio, instalación, y asimismo en materia de relaciones como el flujo, la movilidad y la circulación? ¿Cuál es la relevancia de los conceptos de las ciencias sociales desarrollados en el mundo occidental para poder analizar la transformación de Lagos? ¿Hasta qué punto puede el desarrollo sistemático de nuevas formas de comparación entre ciudades del norte y del sur cambiar las ciencias sociales y contribuir a superar el sesgo hacia la comparación nacional? 
Por el momento, y considerando las condiciones actuales del capitalismo, los asuntos políticos, económicos, culturales y sociales se convierten cada vez más en asuntos urbanos. En la concepción moderna del mundo, caracterizada por el tamaño, la construcción de viviendas, la división del trabajo diferenciada y la densidad de interacción, existen diferentes concepciones de ciudades que se han entremezclado y, a veces, hasta se han enfrentado.  Dichas concepciones resaltan diferentes procesos de integración: el aspecto material de la ciudad, muros, plazas, viviendas, calles, iluminación, servicios públicos, edificios, desechos e infraestructura física; el aspecto cultural de la ciudad en términos de imaginación, diferencias, representaciones, ideas, símbolos, arte, textos, sentidos, religión y estética; los principios políticos y las políticas en materia de control, poder, gobierno, movilización, políticas públicas, bienes, educación; el aspecto social de la ciudad considerando los disturbios, las desigualdades étnicas, económicas y de género, la vida cotidiana y los movimientos sociales; y el aspecto económico de la ciudad: división del trabajo, escalas, producción, consumo, comercio, entre otros.
Los asuntos urbanos clásicos sobre las desigualdades, viviendas, gobierno e integración, se relacionan con cuestiones referentes al tejido urbano, asuntos de movilidad e instalación, desarrollo sostenible y riesgos, creación de ciudades ciborg, problemas de control social y disturbios, cultura urbana, innovación y desarrollo económico urbano.  

Todos los vídeos realizados por Sciences Po para este MOOC están a cargo de Creative Commons (BY / NC / SA)


Perfil recomendado

El curso está diseñado para estudiantes de pregrado, pero también puede ser de interés para estudiantes de posgrado y profesionales en el sector de asuntos urbanos.


Programa del curso :

Semana 1: Introducción, definición, asuntos urbanos y el uso de modelos
Semana 2: Ciudades europeas y el modelo weberiano de integración
Semana 3: Ciudades coloniales y poscoloniales
Semana 4: Ciudades industriales (y ciudades socialistas) y modelos marxistas
Semana 5: Las metrópolis norteamericanas y la Escuela de Chicago 
Semana 6: Posmetrópolis, fragmentos y diferencias
Semana 7: Ciudades globales y megaciudades
Semana 8: Ciudades inteligentes y la sociología de la ciencia y la tecnología",Created by:  Sciences Po,['Taught by:\xa0\xa0Patrick Le Galès'],Rated 4.8 out of 5 of 24 ratings,See all 9 reviews,2018-05-30,"['Home', 'Social Sciences', 'Governance and Society']",Cities are back in town : sociología urbana para un mundo globalizado,https://www.coursera.org/learn/desarrollo-urbano
,,,,,,,,,,,,2018-05-30,,Introduction to Operations Management,https://www.coursera.org/learn/wharton-operations
Course 5 of 5 in the Investment and Portfolio Management Specialization ,6 weeks of study,,Pass all graded assignments to complete the course.,English,,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Put your investment and portfolio management knowledge to the test through five weeks of hands-on investment experiences:

• Developing and managing your own simulated investment portfolio, resulting in a peer-graded report covering portfolio strategy, analysis, and performance 

• Advising case study clients on a variety of investment topics, essentially acting as an investment advisor in a simulated environment recommending strategies for and changes in portfolios based on challenges and issues faced by your clients

• Using the sophisticated web-based analytical tools of Silicon Cloud Technologies LLC’s Portfolio Visualizer including portfolio mean variance optimization, historical and forecasted efficient frontiers, Fama-French factor models, and many more

Your capstone experiences are directly applicable to managing real world investment portfolios and the final report can be shared with family, friends, and potential or current employers.

By the end of the capstone project, you will have incorporated concepts from all four courses, including: 
•	Analyzing multiple asset classes 
•	Asset allocation and risk management 
•	Current market trends
•	Behavioral finance 
•	Investment styles and strategies 
•	Financial market innovation 
•	Investment performance evaluation",Created by:  Rice University,"['Taught by:\xa0\xa0Jill Foote, Finance Faculty']",Rated 4.6 out of 5 of 18 ratings,See all 5 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Capstone: Build a Winning Investment Portfolio,https://www.coursera.org/learn/investment-portfolio-management-capstone
,3-5 hours/week,,Pass all graded assignments to complete the course.,English,,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This opening module of the Power of Markets course covers the basic assumptions about market participants made by economists, the concept of opportunity cost, and the key determinants of supply and demand. We will then learn how to use the supply-demand framework to explain and predict market outcomes and to show how government policies affect those market outcomes. We will look at how quantity demanded and supplied respond to their key determinants in quantitative (elasticity) as well as qualitative terms. The last two weeks of the first module will investigate consumer behavior more closely and show how consumer choices are driven by the interplay of preferences and budget constraints. We will employ the consumer choice framework to examine investor choice as well as policies such as ObamaCare and school choice. Finally, we will also address the concept of how to distribute a given amount of goods across a society’s consumers in the most efficient manner.",Created by:  University of Rochester,"['Taught by:\xa0\xa0Mark Zupan, Professor of Economics and Public Policy']",Rated 4.6 out of 5 of 72 ratings,See all 19 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior ,https://www.coursera.org/learn/market-power
Course 5 of 6 in the (ISC)² Systems Security Certified Practitioner (SSCP)  Specialization ,,,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: Welcome to Networks and Communications Security Course!
In the Networks and Communications Security Course, you will learn about the network structure, data transmission methods, transport formats, and the security measures used to maintain integrity, availability, authentication, and confidentiality of the information being transmitted.
Concepts for both public and private communication networks will be discussed.

Course Objectives
1. Describe network-related security issues
2. Identify protective measures for telecommunication technologies
3. Define processes for controlling network access
4. Identify processes for managing LAN-based security
5. Describe procedures for operating and configuring networked-based
security devices
6. Define procedures to implement and operate wireless technologies",Created by:  (ISC)²,['Taught by:\xa0\xa0(ISC)² Education & Training'],,,2018-05-30,"['Home', 'Information Technology', 'Security']",Networks and Communications Security,https://www.coursera.org/learn/network-security-communications-sscp
