Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
Course 2 of 5 in the Valuation and Financial Analysis For Startups Specialization ,,,Pass all graded assignments to complete the course.,"English, Subtitles: Spanish, Korean",Beginner,3.9 starsAverage User Rating 3.9See what learners said,"About this course: In addition to discounted cash flow method, multiple method is one of the most popular methods of firm valuation. PER is often used among financial professionals to make a quick-and-dirty estimate of a firm value. In this course, you are going to learn the concept and usage of PER, PBR and PSR. In addition to these basic multiple ratios, you are going to learn how to make an estimate of enterprise value and founder’s ownership before and after additional funding. Startups require a number of financings before IPO. After taking this course, you are going to be able to answer questions such as What the price per share should be given the startup’s estimate of earnings in the future; How many shares the founder should give up to raise additional capital; and so on? In the discounted cash flow method and multiple method, you are always given earnings or cash flows to make estimate of firm value. In this course, you are also going to learn how to generate cash flows or earnings from the financial statements. After taking this course, you will be able to understand the meaning of financial statements such as balance sheet, income statement and cash flow calculation.",Created by:  Yonsei University,"['Taught by:\xa0\xa0Hyun Han Shin, Professor']",Rated 3.9 out of 5 of 29 ratings,See all 8 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Valuation for Startups Using Multiple Approach,https://www.coursera.org/learn/valuation-multiples
,3-4 heures par semaine,,Pass all graded assignments to complete the course.,"French, Subtitles: English",,4.6 starsAverage User Rating 4.6See what learners said,"About this course: Ce cours vous permettra d’identifier et d’évaluer des opportunités de création d’entreprises technologiques et d’en comprendre les principaux enjeux humains, techniques, commerciaux, environnementaux et financiers.

Vous aurez ainsi des bases solides pour créer votre entreprise high tech ou décider d'en rejoindre une.

Décider de créer ou de rejoindre une entreprise technologique dans ses premières années est la promesse d’une aventure hors du commun mais ce n’est pas un acte anodin : il faut être capable d’accepter que toutes les « bonnes » idées ne conduiront pas au succès, que seule une minorité de projets débouchera sur un immense succès. Il faut aussi renverser votre rapport à l’échec, qui est une source d’expérience et doit être géré selon la logique de la « perte acceptable » : l’entrepreneur aime l’incertitude, pas le risque démesuré. La création d’entreprises technologiques vous offre une réelle occasion de contribuer à changer le monde mais nécessite que vous adoptiez un certain état d’esprit et que vous puissiez acquérir des savoirs, des savoir-faire et des savoir être, ainsi qu’une expérience la plus large possible.

Vous aurez l'occasion de côtoyer des personnes passionnantes et passionnées issues d'horizons très différents. A partir d’une vision et d’une technologie de pointe, ces femmes et ces hommes ont souvent bâti des entreprises d’envergure mondiale.

La trajectoire de développement d'une entreprise technologique est pleine d’imprévus qui vous demanderont à la fois de l’agilité et une préparation importante pour partir d’une idée forte, sélectionner votre marché, développer votre offre, réunir une équipe à la hauteur des enjeux et trouver des financements.

Ce cours se compose de sessions méthodologiques ainsi que de témoignages d'entrepreneurs et d’acteurs emblématiques de la création d'entreprises technologiques. Vous pourrez ainsi vous familiariser avec les dilemmes essentiels auxquels sont confrontés les créateurs d'une entreprise high tech, à commencer par la décision de créer sa propre structure, qui représente un véritable choix de vie. 

Vous verrez également que la création d'une entreprise technologique est davantage une aventure collective qu’un parcours individuel.","Created by:  École Polytechnique, HEC Paris","['Taught by:\xa0\xa0Romain Beaume, Chargé Mission chaire MIX', 'Taught by:\xa0\xa0Etienne Krieger, Affiliate Professor']",Rated 4.6 out of 5 of 226 ratings,See all 71 reviews,2018-05-30,"['Home', 'Business', 'Entrepreneurship']",Créer et développer une startup technologique,https://www.coursera.org/learn/startup-technologique
,,,Pass all graded assignments to complete the course.,English,Intermediate,5.0 starsAverage User Rating 5.0See what learners said,"About this course: Plastic electronics is a concept that emerged forty years ago, with the discovery of electrically conductive polymers. Ten years later, the first electronic devices using organic solids in place of the ubiquitous inorganic semiconductors were realised. The best achievement of plastic electronics is constituted by Organic Light-Emitting Diodes (OLEDs) that equip the display of many smartphones, and even TV sets.

The objective of this course is to provide a comprehensive overview of the physics of plastic electronic devices. After taking this course, the student should be able to demonstrate theoretical knowledge on the following subjects:
Concept of organic semiconductors;
Charge carrier transport in polymeric and organic semiconductors;
Optical properties of organic semiconductors;
Charge injection from metals to organic solids;
Operating mode of the main plastic electronic devices: Organic light-emitting diodes (OLEDs), organic   photovoltaic cells (OPVs) and organic field-effect transistors (OFETs).",Created by:  École Polytechnique,"['Taught by:\xa0\xa0Gilles Horowitz, Emeritus Research Fellow']",Rated 5 out of 5 of 6 ratings,See all reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Electrical Engineering']",Plastic electronics,https://www.coursera.org/learn/plastic-electronics
,,,Pass all graded assignments to complete the course.,English,,,"About this course: Welcome to Data Analytics Foundations for Accountancy II!  I'm excited to have you in the class and look forward to your contributions to the learning community.

To begin, I recommend taking a few minutes to explore the course site. Review the material we’ll cover each week, and preview the assignments you’ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class.

If you have questions about course content, please post them in the forums to get help from others in the course community. For technical problems with the Coursera platform, visit the Learner Help Center.

Good luck as you get started, and I hope you enjoy the course!",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Robert Brunner, Professor']",Rated 5 out of 5 of 2 ratings,,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Data Analytics Foundations for Accountancy II,https://www.coursera.org/learn/data-analytics-accountancy-2
,,,Pass all graded assignments to complete the course.,English,,4.5 starsAverage User Rating 4.5See what learners said,"About this course: The course for a round the world regatta leads the boats through the Mediterranean Sea and the Atlantic, Southern Indian and South Pacific Oceans. On their voyage, the skippers come across a large variety of oceanographic situations: strong currents, floating ice, wave formations of every kind and biological diversity.

In this course the student will learn about the foundations of the science of oceanography. You'll learn about the classification and formation of the ocean floor, how current sea satellite analysis systems work, the chemistry of the oceans and the processes that led to its formation.



To follow this course does not require previous knowledge of oceanography.","Created by:  Universitat de Barcelona, Fundació Navegació Oceànica Barcelona","['Taught by:\xa0\xa0Jordi Serra , Dr.']",Rated 4.5 out of 5 of 21 ratings,See all 6 reviews,2018-05-30,"['Home', 'Physical Science and Engineering', 'Environmental Science and Sustainability']",Oceanography: a key to better understand our world,https://www.coursera.org/learn/oceanography
,,,Pass all graded assignments to complete the course.,English,Beginner,,"About this course: Education is in a state of flux – transitioning from traditional architectures and practices to new ecologies of teaching and learning influenced by the tremendous social and technological changes of our times. What changes are afoot today in workplaces, civic life and everyday community life? What are their implications for education? What are the possible impacts of contemporary social transformations on teaching and learning - including in the areas of technology, media, globalization, diversity, changing forms of work in the “knowledge society”, and, in these contexts, changing learner needs and sensibilities? This course explores three pedagogical paradigms: “didactic”, “authentic” and “transformative” learning. It takes an historical perspective in order to define the contemporary dimensions of what we term “new learning”. It prepares participants to make purposeful choices and link particular theories/instructional approaches to individual and group learning goals.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Dr William Cope, Professor']",Rated 4 out of 5 of 1 ratings,,2018-05-30,"['Home', 'Social Sciences', 'Education']",New Learning: Principles and Patterns of Pedagogy ,https://www.coursera.org/learn/newlearning
Course 2 of 4 in the Developing Your Musicianship Specialization ,"4 weeks of study, 3-5 hours a week",You'll need a camera or scanner to upload images of your assignments.,Pass all graded assignments to complete the course.,"English, Subtitles: German",Intermediate,4.9 starsAverage User Rating 4.9See what learners said,"About this course: After a tremendous response from learners on Coursera, Berklee Online has created a Developing Your Musicianship specialization, and this course is the second course in the series. If you have a basic knowledge of music theory or if you have completed Developing Your Musicianship I, this course will continue to help you understand key musical concepts, enabling you to create and perform contemporary music. Taught by Berklee College of Music professor George W. Russell, Jr., the course includes four lessons that delve into the next level of harmony and ear training. 

The course will introduce you to new key signatures, including minor tonalities, and how they are constructed. You will train your ear to hear minor intervals and 7th chords. You will learn how to build 7th chords, and how to build common chord progressions. You will also learn the major pentatonic scale and how to construct melodies using this scale.  

The course culminates with an assignment that asks you to compose and perform an 8-measure composition using popular chord progressions and the Major pentatonic scale. Just like Developing Your Musicianship I, the course is designed to impart the joy of creating music and sharing it with others.",Created by:  Berklee College of Music,"['Taught by:\xa0\xa0George W. Russell, Jr., Professor']",Rated 4.9 out of 5 of 200 ratings,See all 46 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Music and Art']","Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",https://www.coursera.org/learn/musicianship-chords
Course 4 of 4 in the Music Production Specialization ,"4 weeks of study, 5-8 hours a week",A computer with a Digital Audio Workstation,Pass all graded assignments to complete the course.,English,Intermediate,4.8 starsAverage User Rating 4.8See what learners said,"About this course: After successfully completing the three prior courses of the Music Production Specialization, this capstone experience is your chance to use your talent and accumulated knowledge to create and submit a finished, fully produced song. As you go through milestones, you will work on your own or with other musicians to develop a song and vision for the finished product. You will then plan and execute its production, including recording, editing, mixing, and posting the finished product. All along the way, you will receive feedback from the peer review process, allowing you to tweak and refine your finished song.",Created by:  Berklee College of Music,"['Taught by:\xa0\xa0Stephen Webber, Director of Music Production, Technology and Innovation', 'Taught by:\xa0\xa0Chrissy Tignor-Fisher, Assistant Professor', 'Taught by:\xa0\xa0Loudon Stearns, Assistant Professor']",Rated 4.8 out of 5 of 41 ratings,See all 16 reviews,2018-05-30,"['Home', 'Arts and Humanities', 'Music and Art']",Music Production Capstone,https://www.coursera.org/learn/music-production-capstone
Course 3 of 4 in the Improving Leadership & Governance in Nonprofit Organizations Specialization ,"5 Weeks, 7 - 10 hours per week",,Pass all graded assignments to complete the course.,English,,4.6 starsAverage User Rating 4.6See what learners said,"About this course: The third course in this Specialization introduces you to the factors that influence how effective boards of directors will be in carrying out their roles and responsibilities and hence the impact they have in shaping the success of the organization they govern. While this course has been developed with North American culture in mind, we do appreciate that, in other parts of the world, the nature of the factors that influence the effectiveness of nonprofit boards of directors may vary. Nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world. 

To learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/aAMIfl.

Keywords: Nonprofit; Nonprofit Sector; Voluntary Sector; Nonprofit Organizations, Non-Governmental Organizations, Volunteer Organizations, Leadership, Management, Governance, Board, Board of Directors, Performance, Effectiveness

Course 3 Overview: 

Week 1: This week's questions: What factors influence the effectiveness of board meetings? What are the formal procedures and structures within the board that impact its performance? What can a board do to intentionally improve the way it structures itself and runs its decision making meetings? 

Week 2: This week's questions:  What do we mean by board composition and development and why is it important? Why is it difficult to change the composition of the board? How do you design the ideal mix of board members? How do you locate, recruit and develop board members?   

Week 3: This week's questions: What do we mean by the ""culture"" of the board and why is it important? How do boards develop and pass along culture? Can board cultures be intentionally changed? What is the role of leadership in shaping board culture? What do effective nonprofit leaders involved in governance do?  How can leadership be managed for higher performance?

Week 4: At this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a BEAR (Board Effectiveness Readiness Assessment), and take two multiple choice Readiness Assurance Tests (known similarly as RATs). One RAT will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case.  

Week 5: We will encourage you to discuss the RATs in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged.","Created by:  The State University of New York, Luther College at the University of Regina","['Taught by:\xa0\xa0Prof. Yvonne D. Harrison, PhD, Associate Professor and Director', 'Taught by:\xa0\xa0Prof. Vic Murray, PhD, Adjunct Professor']",Rated 4.6 out of 5 of 27 ratings,See all 3 reviews,2018-05-30,"['Home', 'Business', 'Leadership and Management']",The Factors that Influence the Effectiveness of Boards and the Governance Process,https://www.coursera.org/learn/nonprofit-gov-3
Course 5 of 10 in the Éxito Profesional Specialization ,"De 4 a 8 horas de videos, lecturas y exámenes",,Pass all graded assignments to complete the course.,"Spanish, Subtitles: Vietnamese, English, Russian",,4.4 starsAverage User Rating 4.4See what learners said,"About this course: En el ambiente empresarial, el saber escribir con eficacia es una poderosa herramienta. Aprende a expresar tus pensamientos de una manera clara y concisa para que las personas que lean lo que escribes capten mejor tus ideas. Mejora tu capacidad de redactar documentos empresariales aprendiendo a escoger el formato y el medio idóneo según para quién escribas, a adaptar tu estilo a la situación, a determinar tu objetivo y a comunicarlo con claridad. También aprenderás a detectar, corregir y evitar los fallos más comunes y adquirirás una experiencia muy valiosa analizando, redactando y revisando una amplia gama de documentos empresariales. Ya sea que escribas una simple nota para tu oficina o una propuesta de negocio de 20 páginas, redáctala bien y verás cómo aumenta su eficacia.","Created by:  University of California, Irvine","['Taught by:\xa0\xa0Sue Robins, M.S. Ed., Instructor, University of California, Irvine Extension']",Rated 4.4 out of 5 of 121 ratings,See all 45 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",Redacción de documentos empresariales de gran impacto,https://www.coursera.org/learn/escritura-en-negocios
